pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,793.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,792.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,795.47
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,799.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,796.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,793.1
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,790.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,791.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,792.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,796.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,797.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,795.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,791.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,790.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,790.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,794.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,797.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,798.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,797.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,793.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,791.0
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,791.3
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,793.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,794.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,795.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,793.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,792.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,792.06
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,792.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,795.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,794.75
